category,file_path,purpose,status,last_write_time,notes
progress,docs/PROGRESS.md,历史进度报告,✅ 非空,2026-06-29 17:39:46,20932 bytes
progress,docs/PROGRESS_DELTA.md,Stage A 修复记录,✅ 非空,2026-06-29 18:21:12,4988 bytes
stats,docs/report_assets/STATS.md,本次统计汇总,✅ 生成,2026-06-29 21:15:37,最终文件由本脚本写入；大小以文件系统当前值为准
figures,docs/report_assets/FIGURE_INDEX.md,图表索引,✅ 非空,2026-06-29 19:56:57,11903 bytes
figures,docs/report_assets/FIGURE_QA.md,图表质量检查,✅ 非空,2026-06-29 19:33:05,1511 bytes
screenshots,docs/report_assets/SCREENSHOT_CHECKLIST.md,截图清单,✅ 非空,2026-06-29 20:06:51,20573 bytes
screenshots,docs/report_assets/SCREENSHOT_INDEX.md,截图索引,✅ 非空,2026-06-29 20:54:50,13625 bytes
screenshots,docs/report_assets/screenshots/frontend,前端截图目录,✅ 存在,2026-06-29 20:49:36,27 files
screenshots,docs/report_assets/screenshots/api,API 截图目录,🟡 空目录,2026-06-29 19:57:19,如为空则需人工补拍
screenshots,docs/report_assets/screenshots/tests,测试截图目录,🟡 空目录,2026-06-29 19:57:19,如为空则需人工补拍
screenshots,docs/report_assets/screenshots/database,数据库截图目录,🟡 空目录,2026-06-29 19:57:19,如为空则需人工补拍
screenshots,docs/report_assets/screenshots/docker,Docker 截图目录,🟡 空目录,2026-06-29 19:57:19,如为空则需人工补拍
logs,docs/report_assets/logs,统计与验证日志目录,✅ 存在,2026-06-29 21:06:04,29 files
progress_evidence,docs/progress_evidence,早期进度证据目录,✅ 存在,2026-06-29 18:02:34,36 files
progress_evidence,docs/progress_evidence/docker_build_stage_a.log,Stage A Docker build 日志,✅ 非空,2026-06-29 18:18:22,可能不存在于当前树
figures,docs/report_assets/figures/fig1_validation_overview.png,实验图资产,✅ 非空,2026-06-29 18:28:58,126562 bytes
figures,docs/report_assets/figures/fig1_validation_overview.svg,实验图资产,✅ 非空,2026-06-29 18:28:58,23910 bytes
figures,docs/report_assets/figures/fig2_algorithm_coverage_matrix.png,实验图资产,✅ 非空,2026-06-29 19:32:47,152727 bytes
figures,docs/report_assets/figures/fig2_algorithm_coverage_matrix.svg,实验图资产,✅ 非空,2026-06-29 19:32:46,26356 bytes
figures,docs/report_assets/figures/fig2_algorithm_coverage_refined.pdf,实验图资产,✅ 非空,2026-06-29 19:56:26,51797 bytes
figures,docs/report_assets/figures/fig2_algorithm_coverage_refined.png,实验图资产,✅ 非空,2026-06-29 19:56:27,177697 bytes
figures,docs/report_assets/figures/fig3_cross_validation_evidence.png,实验图资产,✅ 非空,2026-06-29 19:32:47,204062 bytes
figures,docs/report_assets/figures/fig3_cross_validation_evidence.svg,实验图资产,✅ 非空,2026-06-29 19:32:47,32502 bytes
figures,docs/report_assets/figures/fig3_cross_validation_refined.pdf,实验图资产,✅ 非空,2026-06-29 19:50:37,48383 bytes
figures,docs/report_assets/figures/fig3_cross_validation_refined.png,实验图资产,✅ 非空,2026-06-29 19:50:38,176130 bytes
figures,docs/report_assets/figures/fig4_benchmark_performance.png,实验图资产,✅ 非空,2026-06-29 18:35:16,229304 bytes
figures,docs/report_assets/figures/fig4_benchmark_performance.svg,实验图资产,✅ 非空,2026-06-29 18:35:16,67434 bytes
figures,docs/report_assets/figures/fig5_aes_verbose_trace.png,实验图资产,✅ 非空,2026-06-29 18:29:43,200144 bytes
figures,docs/report_assets/figures/fig5_aes_verbose_trace.svg,实验图资产,✅ 非空,2026-06-29 18:29:42,48557 bytes
figures,docs/report_assets/figures/fig6_security_demos.png,实验图资产,✅ 非空,2026-06-29 18:28:58,549145 bytes
figures,docs/report_assets/figures/fig6_security_demos.svg,实验图资产,✅ 非空,2026-06-29 18:28:58,118962 bytes
data,docs/report_assets/data/algorithm_implementation.csv,CSV/数据资产,✅ 非空,2026-06-29 21:15:37,3572 bytes
data,docs/report_assets/data/api_endpoints.csv,CSV/数据资产,✅ 非空,2026-06-29 21:15:37,14646 bytes
data,docs/report_assets/data/code_lines_summary.csv,CSV/数据资产,✅ 非空,2026-06-29 21:15:37,1009 bytes
data,docs/report_assets/data/evidence_inventory.csv,CSV/数据资产,✅ 非空,2026-06-29 21:14:48,8056 bytes
data,docs/report_assets/data/fig1_validation_overview.csv,CSV/数据资产,✅ 非空,2026-06-29 18:28:57,808 bytes
data,docs/report_assets/data/fig2_algorithm_coverage_matrix.csv,CSV/数据资产,✅ 非空,2026-06-29 19:56:25,2495 bytes
data,docs/report_assets/data/fig2_algorithm_coverage_refined.csv,CSV/数据资产,✅ 非空,2026-06-29 19:56:26,2793 bytes
data,docs/report_assets/data/fig3_cross_validation_evidence.csv,CSV/数据资产,✅ 非空,2026-06-29 19:50:37,4873 bytes
data,docs/report_assets/data/fig3_cross_validation_refined.csv,CSV/数据资产,✅ 非空,2026-06-29 19:50:37,5457 bytes
data,docs/report_assets/data/fig3_cross_validation_refined_counts.csv,CSV/数据资产,✅ 非空,2026-06-29 19:50:37,850 bytes
data,docs/report_assets/data/fig4_benchmark_raw.csv,CSV/数据资产,✅ 非空,2026-06-29 18:35:05,16653 bytes
data,docs/report_assets/data/fig4_benchmark_summary.csv,CSV/数据资产,✅ 非空,2026-06-29 18:35:05,2743 bytes
data,docs/report_assets/data/fig5_aes_verbose_trace.csv,CSV/数据资产,✅ 非空,2026-06-29 18:29:42,3097 bytes
data,docs/report_assets/data/fig6_ecb_leak_metrics.csv,CSV/数据资产,✅ 非空,2026-06-29 18:28:57,157 bytes
data,docs/report_assets/data/fig6_pbkdf2_iterations.csv,CSV/数据资产,✅ 非空,2026-06-29 18:28:57,1992 bytes
data,docs/report_assets/data/figure_assets_summary.csv,CSV/数据资产,✅ 非空,2026-06-29 21:15:37,2195 bytes
data,docs/report_assets/data/r_figures_status.txt,CSV/数据资产,✅ 非空,2026-06-29 19:56:57,1578 bytes
data,docs/report_assets/data/status_codes.csv,CSV/数据资产,✅ 非空,2026-06-29 21:15:37,6373 bytes
data,docs/report_assets/data/test_summary.csv,CSV/数据资产,✅ 非空,2026-06-29 21:15:37,877 bytes
data,docs/report_assets/data/test_vector_sources.csv,CSV/数据资产,✅ 非空,2026-06-29 21:15:37,4344 bytes
logs,docs/report_assets/logs/cargo_test_full.txt,命令输出日志,✅ 非空,2026-06-29 21:04:16,7009 bytes
logs,docs/report_assets/logs/cargo_test_tail.txt,命令输出日志,✅ 非空,2026-06-29 21:04:16,4699 bytes
logs,docs/report_assets/logs/code_file_inventory.txt,命令输出日志,✅ 非空,2026-06-29 21:15:36,18879 bytes
logs,docs/report_assets/logs/docker_compose_build.txt,命令输出日志,✅ 非空,2026-06-29 21:05:31,21524 bytes
logs,docs/report_assets/logs/docker_compose_config.txt,命令输出日志,✅ 非空,2026-06-29 21:04:37,4238 bytes
logs,docs/report_assets/logs/endpoint_scan.txt,命令输出日志,✅ 非空,2026-06-29 21:04:36,26542 bytes
logs,docs/report_assets/logs/git_head.txt,命令输出日志,✅ 非空,2026-06-29 21:15:36,42 bytes
logs,docs/report_assets/logs/git_status.txt,命令输出日志,✅ 非空,2026-06-29 21:15:36,2180 bytes
logs,docs/report_assets/logs/npm_test_full.txt,命令输出日志,✅ 非空,2026-06-29 21:03:51,62 bytes
logs,docs/report_assets/logs/npm_test_tail.txt,命令输出日志,✅ 非空,2026-06-29 21:03:56,62 bytes
logs,docs/report_assets/logs/pytest_full.txt,命令输出日志,✅ 非空,2026-06-29 21:03:52,362 bytes
logs,docs/report_assets/logs/pytest_tail.txt,命令输出日志,✅ 非空,2026-06-29 21:03:53,362 bytes
logs,docs/report_assets/logs/pytest_venv_full.txt,命令输出日志,✅ 非空,2026-06-29 21:06:04,370 bytes
logs,docs/report_assets/logs/pytest_venv_tail.txt,命令输出日志,✅ 非空,2026-06-29 21:06:04,370 bytes
logs,docs/report_assets/logs/source_inventory_depth2.txt,命令输出日志,✅ 非空,2026-06-29 21:03:08,193122 bytes
logs,docs/report_assets/logs/status_code_scan.txt,命令输出日志,✅ 非空,2026-06-29 21:04:36,25041 bytes
logs,docs/report_assets/logs/test_vector_sources_scan.txt,命令输出日志,✅ 非空,2026-06-29 21:04:36,84829 bytes
